日期,代號,股名,買入事件,買入價格,賣出事件,賣出價格,損益率
2023-01-31,2308,台達電,新增5%,288.50,,,
2023-01-31,2317,鴻海,新增5%,98.30,,,
2023-01-31,2379,瑞昱,新增5%,321.50,,,
2023-01-31,6781,AES-KY,新增5%,759.00,,,
2023-03-01,2454,聯發科,新增2.5%,790.00,,,
2023-03-01,2308,台達電,加碼2.5%,291.00,,,
2023-03-01,2884,玉山金,新增2.5%,24.80,,,
2023-03-01,3406,玉晶光,新增2.5%,395.00,,,
2023-03-21,2330,台積電,新增5%,524.00,,,
2023-03-21,2308,台達電,加碼5%,296.50,,,
2023-04-18,2454,聯發科,加碼5%,682.00,,,
2023-04-18,2317,鴻海,加碼5%,104.00,,,
2023-04-26,2330,台積電,加碼6.67%,493.00,,,
2023-04-26,2454,聯發科,加碼6.67%,643.00,,,
2023-04-26,1101,台泥,新增6.67%,38.70,,,
2023-05-18,2454,聯發科,加碼10%,690.00,,,
2023-05-29,3406,玉晶光,加碼20%,392.00,,,
2024-07-12,2330,台積電,,,減碼3.67%,1030.00,+139.60%
2024-07-12,2454,聯發科,,,減碼9.17%,1365.00,+146.86%
2024-07-12,2317,鴻海,,,減碼4.66%,219.00,+139.97%
2024-07-12,3406,玉晶光,,,減碼2.50%,599.00,+50.76%
2024-07-12,3406,玉晶光,,,減碼10%,599.00,+51.91%
2024-08-06,2379,瑞昱,加碼5%,479.50,,,
2024-08-06,6781,AES-KY,加碼5%,464.50,,,
2024-08-06,006208,富邦台50,新增10%,97.40,,,
2024-08-22,2317,鴻海,,,減碼5.34%,184.00,+101.61%
2024-08-22,2454,聯發科,,,減碼7.5%,1230.00,+122.45%
2024-12-05,6781,AES-KY,,,減碼3%,1040.00,+82.27%
2024-12-19,2308,台達電,,,減碼2.5%,415.00,+61.69%
2024-12-19,2454,聯發科,,,減碼1.5%,1400.00,+153.19%
2024-12-19,3406,玉晶光,,,減碼5%,465.50,+25.76%
2024-12-19,6781,AES-KY,,,減碼2%,921.00,+61.41%
